;#;FORM;LEMMA;GRAM;COMMENT;CHECKED;RIGHT1;RIGHT2;RIGHT3;RIGHT4;RIGHT5;RIGHT6;POS;AUTO_LEMMA;AUTO_GRAM;
12346;2;тут;’“’;ADV -;;;т;у;т;;;;ADV;’“’;ADV -;
12347;3;же;†…;PART;;;е;ж;;;;;PART;†…;PART;
12348;4;возникла;‚Ћ‡Ќ€ЉЌ“’њ;V pf praet sg indic f -;;;а;л;к;и;н;з;V;‚Ћ‡Ќ€ЉЌ“’њ;V pf praet sg indic f -;
12349;5;из;€‡;PR;;;з;и;;;;;PR;€‡;PR;
12350;6;этой;ќ’Ћ’;APRO - gen sg f -;;;й;о;т;э;;;A;ќ’Ћ’;A - gen sg plen f -;
12351;7;картины;ЉЂђ’€ЌЂ;S f inan gen sg;;;ы;н;и;т;р;а;S;ЉЂђ’€ЌЂ;S f inan gen sg;
12352;8;фундаментальнаЯ;”“Ќ„ЂЊ…Ќ’Ђ‹њЌ›‰;A - nom sg plen f -;;;Я;а;н;ь;л;а;A;”“Ќ„ЂЊ…Ќ’Ђ‹њЌ›‰;A - nom sg plen f -;
12353;9;проблема;ЏђЋЃ‹…ЊЂ;S f inan nom sg;;;а;м;е;л;б;о;S;ЏђЋЃ‹…ЊЂ;S f inan nom sg;
12354;10;.;.;SENT;;;;;;;;;SENT;.;SENT;
12355;;;;;;;;;;;;;;;;
12356;1;€звестно;€‡‚…‘’ЌЋ;PRAEDIC;;;о;н;т;с;е;в;ADV;€‡‚…‘’ЌЋ;ADV -;
12357;2;было;Ѓ›’њ;V ipf praet sg indic n -;;;о;л;ы;б;;;V;Ѓ›’њ;V ipf praet sg indic n -;
12358;3;из;€‡;PR;;;з;и;;;;;PR;€‡;PR;
12359;4;электродинамики;ќ‹…Љ’ђЋ„€ЌЂЊ€ЉЂ;S f inan gen sg;;;и;к;и;м;а;н;S;ќ‹…Љ’ђЋ„€ЌЂЊ€ЉЂ;S f inan gen sg;
12360;5;ещЮ;…™…;ADV -;;;Ю;щ;е;;;;ADV;…™…;ADV -;
12361;6;<;<;PUNC;;;;;;;;;PUNC;<;PUNC;
12362;7;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX;
12363;8;form;FORM;NONLEX;;;;;;;;;NONLEX;FORM;NONLEX;
12364;9;=;=;PUNC;;;;;;;;;PUNC;=;PUNC;
12365;10;З;З;PUNC;;;;;;;;;PUNC;З;PUNC;
12366;11;з;‡;NONLEX;слитно ;;з;;;;;;S;‡;S - - nonflex nonflex;
12367;12;?;?;PUNC;слитно;;;;;;;;PUNC;?;PUNC;
12368;13;долго;„Ћ‹ѓЋ;ADV -;distort;;о;г;л;о;д;;ADV;„Ћ‹ѓЋ;ADV -;
12369;14;И;И;PUNC;;;;;;;;;PUNC;И;PUNC;
12370;15;>;>;PUNC;;;;;;;;;PUNC;>;PUNC;
12371;16;зад;‡Ђ„;NONLEX;слитно ;;д;а;з;;;;S;‡Ђ„;S m inan acc sg;
12372;17;?;?;PUNC;слитно;;;;;;;;PUNC;?;PUNC;
12373;18;лго;‹ѓЋ;NONLEX;;;о;г;л;;;;S;‹ѓЋ;S m inan nonflex nonflex;
12374;19;<;<;PUNC;;;;;;;;;PUNC;<;PUNC;
12375;20;/;/;PUNC;;;;;;;;;PUNC;/;PUNC;
12376;21;distinct;DISTINCT;NONLEX;;;;;;;;;NONLEX;DISTINCT;NONLEX;
12377;22;>;>;PUNC;;;;;;;;;PUNC;>;PUNC;
12378;23;до;„Ћ;PR;;;о;д;;;;;PR;„Ћ;PR;
12379;24;этого;ќ’Ћ;SPRO n - gen sg;;;о;г;о;т;э;;S;ќ’Ћ;S n - gen sg;
12380;25;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12381;26;что;—’Ћ;CONJ;;;о;т;ч;;;;CONJ;—’Ћ;CONJ;
12382;27;зарЯд;‡Ђђџ„;S m inan nom sg;;;д;Я;р;а;з;;S;‡Ђђџ„;S m inan nom sg;
12383;28;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12384;29;когда;ЉЋѓ„Ђ;CONJ;;;а;д;г;о;к;;CONJ;ЉЋѓ„Ђ;CONJ;
12385;30;он;ЋЌ;SPRO sg 3p m nom;;;н;о;;;;;SPRO;ЋЌ;SPRO sg 3p m nom;
12386;31;движетсЯ;„‚€ѓЂ’њ‘џ;V ipf praes sg indic - 3p;;;Я;с;т;е;ж;и;V;„‚€ѓЂ’њ‘џ;V ipf praes sg indic - 3p;
12387;32;ускоренно;“‘ЉЋђ…ЌЌЋ;ADV -;;;о;н;н;е;р;о;ADV;“‘ЉЋђ…ЌЌЋ;ADV -;
12388;33;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12389;34;ну;Ќ“;PART;;;у;н;;;;;PART;Ќ“;PART;
12390;35;<;<;PUNC;;;;;;;;;PUNC;<;PUNC;
12391;36;noindex;NOINDEX;NONLEX;;;;;;;;;NONLEX;NOINDEX;NONLEX;
12392;37;>;>;PUNC;;;;;;;;;PUNC;>;PUNC;
12393;38;[;[;PUNC;;;;;;;;;PUNC;[;PUNC;
12394;39;нрзб;Ќђ‡Ѓ;NONLEX;;;б;з;р;н;;;NONLEX;Ќђ‡Ѓ;NONLEX;
12395;40;];];PUNC;;;;;;;;;PUNC;];PUNC;
12396;41;<;<;PUNC;;;;;;;;;PUNC;<;PUNC;
12397;42;/;/;PUNC;;;;;;;;;PUNC;/;PUNC;
12398;43;noindex;NOINDEX;NONLEX;;;;;;;;;NONLEX;NOINDEX;NONLEX;
12399;44;>;>;PUNC;;;;;;;;;PUNC;>;PUNC;
12400;45;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12401;46;вращаетсЯ;‚ђЂ™Ђ’њ‘џ;V ipf praes sg indic - 3p;;;Я;с;т;е;а;щ;V;‚ђЂ™Ђ’њ‘џ;V ipf praes sg indic - 3p;
12402;47;по;ЏЋ;PR;;;о;п;;;;;PR;ЏЋ;PR;
12403;48;окружности;ЋЉђ“†ЌЋ‘’њ;S f inan dat sg;;;и;т;с;о;н;ж;S;ЋЉђ“†ЌЋ‘’њ;S f inan loc sg;
12404;49;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12405;50;он;ЋЌ;SPRO sg 3p m nom;;;н;о;;;;;SPRO;ЋЌ;SPRO sg 3p m nom;
12406;51;излучает;€‡‹“—Ђ’њ;V ipf praes sg indic - 3p;;;т;е;а;ч;у;л;V;€‡‹“—Ђ’њ;V ipf praes sg indic - 3p;
12407;52;электромагнитные;ќ‹…Љ’ђЋЊЂѓЌ€’Ќ›‰;A - acc pl plen - inan;;;е;ы;н;т;и;н;A;ќ‹…Љ’ђЋЊЂѓЌ€’Ќ›‰;A - acc pl plen - inan;
12408;53;волны;‚Ћ‹ЌЂ;S f inan acc pl;;;ы;н;л;о;в;;S;‚Ћ‹ЌЂ;S f inan acc pl;
12409;54;.;.;SENT;;;;;;;;;SENT;.;SENT;
12410;;;;;;;;;;;;;;;;
12411;1;‘ергей;‘…ђѓ…‰;S m anim nom sg persn;;;й;е;г;р;е;с;S;‘…ђѓ…‰;S m anim nom sg;
12412;2;@;@;PUNC;;;;;;;;;PUNC;@;PUNC;
12413;3;Ђ;Ђ;CONJ;;;а;;;;;;CONJ;Ђ;CONJ;
12414;4;тогда;’Ћѓ„Ђ;ADV -;;;а;д;г;о;т;;ADV;’Ћѓ„Ђ;ADV -;
12415;5;возникает;‚Ћ‡Ќ€ЉЂ’њ;V ipf praes sg indic - 3p;;;т;е;а;к;и;н;V;‚Ћ‡Ќ€ЉЂ’њ;V ipf praes sg indic - 3p;
12416;6;вопрос;‚ЋЏђЋ‘;S m inan nom sg;;;с;о;р;п;о;в;S;‚ЋЏђЋ‘;S m inan nom sg;
12417;7;:;:;PUNC;;;;;;;;;PUNC;:;PUNC;
12418;8;электроны;ќ‹…Љ’ђЋЌ;S m inan nom pl;;;ы;н;о;р;т;к;S;ќ‹…Љ’ђЋЌ;S m inan nom pl;
12419;9;в;‚;PR;;;в;;;;;;PR;‚;PR;
12420;10;атоме;Ђ’ЋЊ;S m inan loc sg;;;е;м;о;т;а;;S;Ђ’ЋЊ;S m inan loc sg;
12421;11;крутЯтсЯ;Љђ“’€’њ‘џ;V ipf praes pl indic - 3p;;;Я;с;т;Я;т;у;V;Љђ“’€’њ‘џ;V ipf praes pl indic - 3p;
12422;12;вокруг;‚ЋЉђ“ѓ;PR;;;г;у;р;к;о;в;PR;‚ЋЉђ“ѓ;PR;
12423;13;Ядра;џ„ђЋ;S n inan gen sg;;;а;р;д;Я;;;S;џ„ђЋ;S n inan gen sg;
12424;14;Р;Р;PUNC;;;;;;;;;PUNC;Р;PUNC;
12425;15;должны;„Ћ‹†Ќ›‰;A - - pl brev - -;;;ы;н;ж;л;о;д;A;„Ћ‹†Ќ›‰;A - - pl brev - -;
12426;16;излучать;€‡‹“—Ђ’њ;V ipf - - inf - -;;;ь;т;а;ч;у;л;V;€‡‹“—Ђ’њ;V ipf - - inf - -;
12427;17;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12428;18;терЯть;’…ђџ’њ;V ipf - - inf - -;;;ь;т;Я;р;е;т;V;’…ђџ’њ;V ipf - - inf - -;
12429;19;свою;‘‚Ћ‰;APRO - acc sg f -;;;ю;о;в;с;;;A;‘‚Ћ‰;A - acc sg plen f -;
12430;20;энергию;ќЌ…ђѓ€џ;S f inan acc sg;;;ю;и;г;р;е;н;S;ќЌ…ђѓ€џ;S f inan acc sg;
12431;21;и;€;CONJ;;;и;;;;;;CONJ;€;CONJ;
12432;22;падать;ЏЂ„Ђ’њ;V ipf - - inf - -;;;ь;т;а;д;а;п;V;ЏЂ„Ђ’њ;V ipf - - inf - -;
12433;23;на;ЌЂ;PR;;;а;н;;;;;PR;ЌЂ;PR;
12434;24;Ядро;џ„ђЋ;S n inan acc sg;;;о;р;д;Я;;;S;џ„ђЋ;S n inan acc sg;
12435;25;.;.;SENT;;;;;;;;;SENT;.;SENT;
12436;;;;;;;;;;;;;;;;
12437;1;Ћднако;Ћ„ЌЂЉЋ;CONJ;;;о;к;а;н;д;о;CONJ;Ћ„ЌЂЉЋ;CONJ;
12438;2;этого;ќ’Ћ;SPRO n - gen sg;;;о;г;о;т;э;;S;ќ’Ћ;S n - gen sg;
12439;3;не;Ќ…;PART;;;е;н;;;;;PART;Ќ…;PART;
12440;4;происходит;ЏђЋ€‘•Ћ„€’њ;V ipf praes sg indic - 3p;;;т;и;д;о;х;с;V;ЏђЋ€‘•Ћ„€’њ;V ipf praes sg indic - 3p;
12441;5;.;.;SENT;;;;;;;;;SENT;.;SENT;
12442;;;;;;;;;;;;;;;;
12443;1;‘ергей;‘…ђѓ…‰;S m anim nom sg persn;;;й;е;г;р;е;с;S;‘…ђѓ…‰;S m anim nom sg;
12444;2;@;@;PUNC;;;;;;;;;PUNC;@;PUNC;
12445;3;Њожно;ЊЋ†ЌЋ;PRAEDIC;;;о;н;ж;о;м;;ADV;ЊЋ†ЌЋ;ADV -;
12446;4;сказать;‘ЉЂ‡Ђ’њ;V pf - - inf - -;;;ь;т;а;з;а;к;V;‘ЉЂ‡Ђ’њ;V pf - - inf - -;
12447;5;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12448;6;что;—’Ћ;CONJ;;;о;т;ч;;;;CONJ;—’Ћ;CONJ;
12449;7;это;ќ’Ћ;S n - nom sg;;;о;т;э;;;;S;ќ’Ћ;S n - nom sg;
12450;8;бэ;Ѓќ;NONLEX;distort;;э;б;;;;;S;Ѓќ;S n inan nonflex nonflex;
12451;9;ээ;ќ;INTJ;distort;;э;э;;;;;NONLEX;ќќ;NONLEX;
12452;10;вот;‚Ћ’;PART;;;т;о;в;;;;PART;‚Ћ’;PART;
12453;11;самаЯ;‘ЂЊ›‰;A - nom sg plen f supr ;слитно;;Я;а;м;а;с;;A;‘ЂЊ›‰;A - nom sg plen f -;
12454;12;фундаментальнаЯ;”“Ќ„ЂЊ…Ќ’Ђ‹њЌ›‰;A - nom sg plen f supr ;;;Я;а;н;ь;л;а;A;”“Ќ„ЂЊ…Ќ’Ђ‹њЌ›‰;A - nom sg plen f -;
12455;13;проблема;ЏђЋЃ‹…ЊЂ;S f inan nom sg;;;а;м;е;л;б;о;S;ЏђЋЃ‹…ЊЂ;S f inan nom sg;
12456;14;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12457;15;котораЯ;ЉЋ’Ћђ›‰;APRO - nom sg f -;;;Я;а;р;о;т;о;A;ЉЋ’Ћђ›‰;A - nom sg plen f -;
12458;16;всплыла;‚‘Џ‹›’њ;V pf praet sg indic f -;;;а;л;ы;л;п;с;V;‚‘Џ‹›’њ;V pf praet sg indic f -;
12459;17;в;‚;PR;;;в;;;;;;PR;‚;PR;
12460;18;начале;ЌЂ—Ђ‹Ћ;S n inan loc sg;;;е;л;а;ч;а;н;S;ЌЂ—Ђ‹Ћ;S n inan loc sg;
12461;19;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12462;20;в;‚;PR;;;в;;;;;;PR;‚;PR;
12463;21;самом;‘ЂЊ›‰;APRO - loc sg plen n -;;;м;о;м;а;с;;A;‘ЂЊ›‰;A - loc sg plen n -;
12464;22;начале;ЌЂ—Ђ‹Ћ;S n inan loc sg;;;е;л;а;ч;а;н;S;ЌЂ—Ђ‹Ћ;S n inan loc sg;
12465;23;двадцатого;„‚Ђ„–Ђ’›‰;A - gen sg plen m -;;;о;г;о;т;а;ц;A;„‚Ђ„–Ђ’›‰;A - gen sg plen m -;
12466;24;века;‚…Љ;S m inan gen sg;;;а;к;е;в;;;S;‚…Љ;S m inan gen sg;
12467;25;.;.;SENT;;;;;;;;;SENT;.;SENT;
12468;;;;;;;;;;;;;;;;
12469;1;‘ергей;‘…ђѓ…‰;S m anim nom sg persn;;;й;е;г;р;е;с;S;‘…ђѓ…‰;S m anim nom sg;
12470;2;@;@;PUNC;;;;;;;;;PUNC;@;PUNC;
12471;3;Ќу;Ќ“;PART;;;у;н;;;;;PART;Ќ“;PART;
12472;4;и;€;CONJ;;;и;;;;;;CONJ;€;CONJ;
12473;5;мозги;ЊЋ‡ѓ€;S - inan nom pl;;;и;г;з;о;м;;S;ЊЋ‡ѓ€;S - inan nom pl;
12474;6;у;“;PR;;;у;;;;;;PR;“;PR;
12475;7;людей;—…‹Ћ‚…Љ;S m anim gen pl;;;й;е;д;ю;л;;S;—…‹Ћ‚…Љ;S m anim gen pl;
12476;8;на;ЌЂ;PR;;;а;н;;;;;PR;ЌЂ;PR;
12477;9;эту;ќ’Ћ’;APRO - acc sg f -;;;у;т;э;;;;A;ќ’Ћ’;A - acc sg plen f -;
12478;10;тему;’…ЊЂ;S f inan acc sg;;;у;м;е;т;;;S;’…ЊЂ;S f inan acc sg;
12479;11;начали;ЌЂ—Ђ’њ;V pf praet pl indic - -;;;и;л;а;ч;а;н;V;ЌЂ—Ђ’њ;V pf praet pl indic - -;
12480;12;работать;ђЂЃЋ’Ђ’њ;V ipf - - inf - -;;;ь;т;а;т;о;б;V;ђЂЃЋ’Ђ’њ;V ipf - - inf - -;
12481;13;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12482;14;и;€;CONJ;;;и;;;;;;CONJ;€;CONJ;
12483;15;первый;Џ…ђ‚›‰;ANUM - nom sg plen m -;;;й;ы;в;р;е;п;A;Џ…ђ‚›‰;A - nom sg plen m -;
12484;16;ответ;Ћ’‚…’;S m inan nom sg;;;т;е;в;т;о;;S;Ћ’‚…’;S m inan acc sg;
12485;17;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12486;18;попытка;ЏЋЏ›’ЉЂ;S f inan nom sg;;;а;к;т;ы;п;о;S;ЏЋЏ›’ЉЂ;S f inan nom sg;
12487;19;решить;ђ…€’њ;V pf - - inf - -;;;ь;т;и;ш;е;р;V;ђ…€’њ;V pf - - inf - -;
12488;20;эту;ќ’Ћ’;APRO - acc sg f -;;;у;т;э;;;;A;ќ’Ћ’;A - acc sg plen f -;
12489;21;задачу;‡Ђ„Ђ—Ђ;S f inan acc sg;;;у;ч;а;д;а;з;S;‡Ђ„Ђ—Ђ;S f inan acc sg;
12490;22;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12491;23;принадлежит;Џђ€ЌЂ„‹…†Ђ’њ;V ipf praes sg indic - 3p;;;т;и;ж;е;л;д;V;Џђ€ЌЂ„‹…†Ђ’њ;V ipf praes sg indic - 3p;
12492;24;Ќильсу;Ќ€‹њ‘;S m anim dat sg persn;;;у;с;ь;л;и;н;S;Ќ€‹њ‘;S m anim dat sg;
12493;25;Ѓору;ЃЋђ;S m anim dat sg famn ;;;у;р;о;б;;;S;ЃЋђ;S m anim dat sg;
12494;26;.;.;SENT;;;;;;;;;SENT;.;SENT;
12495;;;;;;;;;;;;;;;;
12496;1;‘ергей;‘…ђѓ…‰;S m anim nom sg persn;;;й;е;г;р;е;с;S;‘…ђѓ…‰;S m anim nom sg;
12497;2;@;@;PUNC;;;;;;;;;PUNC;@;PUNC;
12498;3;Ћн;ЋЌ;SPRO sg 3p m nom;;;н;о;;;;;SPRO;ЋЌ;SPRO sg 3p m nom;
12499;4;сказал;‘ЉЂ‡Ђ’њ;V pf praet sg indic m -;;;л;а;з;а;к;с;V;‘ЉЂ‡Ђ’њ;V pf praet sg indic m -;
12500;5;:;:;PUNC;;;;;;;;;PUNC;:;PUNC;
12501;6;З;З;PUNC;;;;;;;;;PUNC;З;PUNC;
12502;7;‚ы;‚›;SPRO pl 2p - nom;;;ы;в;;;;;SPRO;‚›;SPRO pl 2p - nom;
12503;8;знаете;‡ЌЂ’њ;V ipf praes pl indic - 2p;;;е;т;е;а;н;з;V;‡ЌЂ’њ;V ipf praes pl indic - 2p;
12504;9;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12505;10;вот;‚Ћ’;PART;;;т;о;в;;;;PART;‚Ћ’;PART;
12506;11;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12507;12;нужно;Ќ“†ЌЋ;PRAEDIC;;;о;н;ж;у;н;;ADV;Ќ“†ЌЋ;ADV -;
12508;13;добавить;„ЋЃЂ‚€’њ;V pf - - inf - -;;;ь;т;и;в;а;б;V;„ЋЃЂ‚€’њ;V pf - - inf - -;
12509;14;новый;ЌЋ‚›‰;A - acc sg plen m inan;;;й;ы;в;о;н;;A;ЌЋ‚›‰;A - acc sg plen m inan;
12510;15;закон;‡ЂЉЋЌ;S m inan acc sg;;;н;о;к;а;з;;S;‡ЂЉЋЌ;S m inan acc sg;
12511;16;прр;Џђђ;NONLEX;слитно;;р;р;п;;;;NONLEX;Џђђ;NONLEX;
12512;17;природы;Џђ€ђЋ„Ђ;S f inan gen sg;distort;;ы;д;о;р;и;р;S;Џђ€ђЋ„Ђ;S f inan gen sg;
12513;18;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12514;19;что;—’Ћ;CONJ;;;о;т;ч;;;;CONJ;—’Ћ;CONJ;
12515;20;электрон;ќ‹…Љ’ђЋЌ;S m inan nom sg;;;н;о;р;т;к;е;S;ќ‹…Љ’ђЋЌ;S m inan nom sg;
12516;21;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
12517;22;вращающийсЯ;‚ђЂ™Ђ’њ‘џ;PARTCP ipf inpraes nom sg plen m act inan;;;Я;с;й;и;щ;ю;PARTCP;‚ђЂ™Ђ’њ‘џ;PARTCP ipf inpraes acc sg plen m act inan;
12518;23;вокруг;‚ЋЉђ“ѓ;PR;;;г;у;р;к;о;в;PR;‚ЋЉђ“ѓ;PR;
12519;24;Ядра;џ„ђЋ;S n inan gen sg;;;а;р;д;Я;;;S;џ„ђЋ;S n inan gen sg;
12520;25;э;ќ;INTJ;distort;;э;;;;;;S;ќ;S - - nonflex nonflex;
12521;26;,;,;PUNC;;;;;;;;;PUNC;,;PUNC;
